,Feature,MI Score
523,Postcode_3028.0,0.004490876574084313
524,Postcode_3029.0,0.021634706729813713
525,Postcode_3030.0,0.0
526,Postcode_3031.0,0.005592077345875968
527,Postcode_3032.0,0.0
528,Postcode_3033.0,0.0001670364432999616
529,Postcode_3034.0,0.006826061307141806
530,Postcode_3036.0,0.0
531,Postcode_3037.0,0.0
532,Postcode_3038.0,0.0
533,Postcode_3039.0,0.0
534,Postcode_3040.0,0.006055679578844009
535,Postcode_3041.0,0.0034878566205804873
536,Postcode_3042.0,0.0019661640105321787
537,Postcode_3043.0,0.003019294974918596
538,Postcode_3044.0,0.0
539,Postcode_3046.0,0.003225062725167316
540,Postcode_3047.0,0.004529815731455056
541,Postcode_3048.0,0.003835438848790673
542,Postcode_3049.0,0.0
543,Postcode_3051.0,0.0
544,Postcode_3052.0,0.00027167115006077047
545,Postcode_3053.0,0.019674535514092373
546,Postcode_3054.0,0.0029531155029494105
547,Postcode_3055.0,0.0010142614510066927
548,Postcode_3056.0,0.006647411555043892
549,Postcode_3057.0,0.0016719618256622049
550,Postcode_3058.0,0.0009361902264670707
551,Postcode_3059.0,0.002433966782414254
552,Postcode_3060.0,0.0
553,Postcode_3061.0,0.0
554,Postcode_3064.0,0.013698897032903279
555,Postcode_3065.0,0.0015087744380557488
556,Postcode_3066.0,0.0
557,Postcode_3067.0,0.009294796139478922
558,Postcode_3068.0,0.0035608199855614586
559,Postcode_3070.0,0.0
560,Postcode_3071.0,0.0016026982114480948
561,Postcode_3072.0,0.0
562,Postcode_3073.0,0.005740975227081835
563,Postcode_3074.0,0.0022753858233561797
564,Postcode_3075.0,0.004744565674372536
565,Postcode_3076.0,0.0
566,Postcode_3078.0,0.0038930625238748906
567,Postcode_3079.0,0.008864412735130056
568,Postcode_3081.0,0.005392342058017974
569,Postcode_3082.0,0.0
570,Postcode_3083.0,0.0
571,Postcode_3084.0,0.007868059613357126
572,Postcode_3085.0,0.0038535794039864513
573,Postcode_3087.0,0.0
